sample_id,smiles
97,CC1=CC=C(C2=C3C(C(N2CC(CCCCCCCCCCCC)CCCCCCCCCCCCCC)=O)=C(C4=CC=C(C5=CC6=C(C=C(C=C(C)S7)C7=C6)S5)S4)N(CC(CCCCCCCCCCCC)CCCCCCCCCCCCCC)C3=O)S1
98,O=C1C(C2=C(C3=CC=C(C4=C(F)C(F)=C(C)C(F)=C4F)S3)N1CC(CCCCCCCC)CCCCCCCCCC)=C(C5=CC=C(C)S5)N(CC(CCCCCCCCCC)CCCCCCCC)C2=O
99,O=C(N1CCCCCCCCC[Si](O[Si](C)(C)C)(C)O[Si](C)(C)C)/C(C2=C1C=C(C)C=C2)=C(C(N3CCCCCCCCC[Si](O[Si](C)(C)C)(C)O[Si](C)(C)C)=O)\C4=C3C=C(C5=CC=C(C6=CC=C(C)O6)O5)C=C4
100,CC1=CC(CCCCCCCCCCCC)=C(C2=NC(CCCCCCCCCCCC)=C(C3=C(CCCCCCCCCCCC)N=C(C4=C(CCCCCCCCCCCC)C=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)S3)S2)S1
101,O=C1C(C2=C(C3=CC=C(C)S3)N1CCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)=C(C4=CC=C(C5=CC=C(C)[Se]5)S4)N(CCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)C2=O
102,O=C1C(C2=C(C3=CC=C(C4=CC=C(C)[Se]4)S3)N1CC(CCCCCC)CCCCCCCC)=C(C5=CC=C(C)S5)N(CC(CCCCCC)CCCCCCCC)C2=O
103,CC(S1)=CC2=C1C3=C(C2(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C=C(C4=CC=C(C)C5=NSN=C54)S3
104,O=C(N(C(C1=CC=C(C)S1)=C2C3=O)CC(CCCCCCCCCCCC)CCCCCCCCCCCCCC)C2=C(C4=CC=C(C5=CC6=C(C(C=C(C=C(C)S7)C7=C8)=C8C=C6)S5)S4)N3CC(CCCCCCCCCCCC)CCCCCCCCCCCCCC
105,O=C1C(C2=C(C)N1CC(CCCCCCCCCC)CCCCCCCC)=C(C3=CC=C(C4=CC5=C(C=C(C6=CC=C(C)S6)S5)S4)S3)N(CC(CCCCCCCCCC)CCCCCCCC)C2=O
106,CCCCCCCC)=O)=C(C4=CC=C(C5=CC6=C(C(SC(C)=C7)=C7S6)S5)S4)N(CC(CCCCCCCCCCCC)CCCCCCCCCCCCCC)C3=O)S1
107,CCCCCCCCC(CC1=C(C2=CC=C(C(C3=NSN=C3C(C)=C4F)=C4[H])S2)SC(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(S5)C(S6)=CC=C6C)=C1)CCCCCCCCCC
108,CCCCC1(CCCC)C2=C(C=CC(C3=CC(CCCCCC)=C(C4=CC(SC(C5=CC(CCCCCC)=C(C)S5)=C6)=C6S4)S3)=C2)C7=CC=C(C)C=C71
109,CC1=C(CCCCCCCCCC)C=C(C2=CC3=C(C(CCCCCCCCCCCC)=C(C=C(C4=C(C)C=C(C)S4)S5)C5=C3CCCCCCCCCCCC)S2)S1
110,CC(CCCC(C)C)CCC1(CCC(C)CCCC(C)C)C2=C(SC(C)=C2)C3=C1C=C(C4=CC=C(C)C5=NSN=C54)S3
